passage_id,question,passage
1997_553_345.txt,"Czy żołnierz, który dopuszcza się czynnej napaści na przełożonego podlega karze pozbawienia wolności?","Art. 345. § 1. Żołnierz, który dopuszcza się czynnej napaści na przełożonego, podlega karze aresztu wojskowego albo pozbawienia wolności do lat 3. § 2. Jeżeli sprawca dopuszcza się czynnej napaści w związku z pełnieniem przez przełożonego obowiązków służbowych albo wspólnie z innymi żołnierzami lub w obecności zebranych żołnierzy, podlega karze pozbawienia wolności od 6 miesięcy do lat 8. § 3. Jeżeli sprawca czynu określonego w § 1 lub 2 używa broni, noża lub innego podobnie niebezpiecznego przedmiotu, podlega karze pozbawienia wolności od roku do lat 10. § 4. Karze przewidzianej w § 3 podlega sprawca czynu określonego w § 1 lub 2, jeżeli jego następstwem jest skutek określony w art. 156 lub 157 § 1."
2004_177_21.txt,"Z ilu osób składa się komisja przetargowa?","Art. 21. 1. Członków komisji przetargowej powołuje i odwołuje kierownik zamawiającego. 2. Komisja przetargowa składa się z co najmniej trzech osób. 3. Kierownik zamawiającego określa organizację, skład, tryb pracy oraz zakres obowiązków członków komisji przetargowej, mając na celu zapewnienie sprawności jej działania, indywidualizacji odpowiedzialności jej członków za wykonywane czynności oraz przejrzystości jej prac. 4. Jeżeli dokonanie określonych czynności związanych z przygotowaniem i przeprowadzeniem postępowania o udzielenie zamówienia wymaga wiadomości specjalnych, kierownik zamawiającego, z własnej inicjatywy lub na wniosek komisji przetargowej, może powołać biegłych. Przepis art. 17 stosuje się."
1996_465_111.txt,"Do jakiej wysokości za zobowiązania spółki odpowiada komandytariusz?",Art. 111. Komandytariusz odpowiada za zobowiązania spółki wobec jej wierzycieli tylko do wysokości sumy komandytowej.
1994_288_2.txt,,"Art. 2. Formę, zakres i szczegółowe terminy wykonania zadań zleconych, o których mowa w art. 1, określi Prezes Głównego Urzędu Statystycznego w drodze zarządzenia."
2001_804_10.txt,,"Art. 10. Do dnia 31 grudnia 2006 r. mienie pozostałe po jednostkach organizacyjnych podporządkowanych lub nadzorowanych przez Ministra Obrony Narodowej w likwidowanych garnizonach, przekazane Agencji Mienia Wojskowego do zagospodarowania, może być w pierwszej kolejności udostępniane, w trybie przetargu ograniczonego, przedsiębiorcom, których jedynym właścicielem są żołnierze zwolnieni z zawodowej służby wojskowej w wyniku likwidacji tych jednostek po dniu 31 grudnia 2000 r. lub pracownicy zatrudnieni w tych jednostkach, z którymi stosunek pracy został rozwiązany po dniu 31 grudnia 2000 r."
1994_591_35.txt,"Kiedy ustala się wartość majątku obrotowego, który stracił swoją przydatność?","Art. 35. 1. Wartość rzeczowych składników majątku obrotowego, które utraciły swoje cechy użytkowe lub przydatność, oraz odpadów ustala się nie później niż na dzień bilansowy w cenach sprzedaży netto możliwych do uzyskania. 2. Wartość produktów gotowych i towarów, z wyjątkiem towarów używanych znajdujących się w punktach sprzedaży oraz towarów przewidzianych do wieloletniej sprzedaży, zmniejsza się stopniowo, uwzględniając utratę ich wartości rynkowej, przez okres nie dłuższy niż 5 lat, poczynając od roku obrotowego następującego po roku, w którym je zakupiono lub wytworzono. 3. Odpisy aktualizujące: 1) wartość rzeczowych składników majątku obrotowego, o których mowa w ust. 1 i 2, oraz wynikające z wyceny według cen sprzedaży netto zamiast według cen nabycia (zakupu) lub kosztów wytworzenia - zwiększają pozostałe koszty operacyjne, 2) wartość udziałów w innych jednostkach oraz długoterminowych papierów wartościowych (lokat) - obciążają koszty operacji finansowych; jeżeli w wyniku wzrostu kursów giełdowych ceny sprzedaży netto długoterminowych papierów wartościowych (lokat) są wyższe od cen, po których je nabyto, to długoterminowe papiery wartościowe (lokaty) wykazuje się według cen ich nabycia, odnosząc różnice między ich dotychczasową, niższą wyceną a wartością według cen nabycia na przychody z operacji finansowych."
2000_1192_10.txt,,"Art. 10. 1. Zabrania się budowy obiektów budowlanych, tymczasowych obiektów budowlanych i urządzeń budowlanych na terenie Pomnika Zagłady i jego strefy ochronnej, z wyjątkiem obiektów i urządzeń niezbędnych do zabezpieczenia Pomnika Zagłady przed zniszczeniem lub uszkodzeniem oraz zapewnienia porządku i czystości na jego terenie, stałej konserwacji, oznakowania jego granic albo granic strefy ochronnej lub niezbędnej obsługi osób odwiedzających ten Pomnik. 2. Wydanie przewidzianych w odrębnych przepisach pozwoleń na budowę obiektów budowlanych, tymczasowych obiektów budowlanych i urządzeń budowlanych, o których mowa w ust. 1, lub rozpoczęcie budowy takich obiektów, w przypadku gdy nie jest wymagane pozwolenie na budowę, wymaga zgody wojewody, udzielonej w drodze decyzji. 3. Wojewoda nakazuje, w drodze decyzji, rozbiórkę obiektu budowlanego lub jego części, będącego w budowie albo wybudowanego bez wymaganej zgody, o której mowa w ust. 2."
1998_602_63.txt,,"Art. 63. 1. W razie unieważnienia wyborów lub wyboru radnego wybory ponowne lub wskazane czynności wyborcze przeprowadzają te same komisje wyborcze, przy odpowiednim zastosowaniu przepisów niniejszej ustawy. 2. Jeżeli podstawą unieważnienia wyborów lub wyboru radnego były zarzuty odnoszące się do komisji wyborczych lub nieprawidłowości w spisie wyborców, powołuje się nowe komisje lub sporządza nowe spisy. 3. Wyborów ponownych nie przeprowadza się, jeżeli ich data przypadałaby w okresie 6 miesięcy przed zakończeniem kadencji rady."
1997_933_21.txt,,"Art. 21. 1. Towarzystwo prowadzi zapisy, o których mowa w art. 20 ust. 2, bezpośrednio lub za pośrednictwem podmiotu prowadzącego działalność maklerską. 2. Za zgodą Komisji towarzystwo może prowadzić zapisy za pośrednictwem podmiotu innego niż wymieniony w ust. 1. 3. W przypadku zapisów prowadzonych za pośrednictwem innego podmiotu, do wniosku, o którym mowa w art. 17, towarzystwo załącza umowę zawartą z tym podmiotem."
1996_474_25.txt,,"Art. 25. 1. Wydanie decyzji w sprawie planowanego przedsięwzięcia mogącego znacząco oddziaływać na środowisko wymaga, z zastrzeżeniem ust. 5, przeprowadzenia postępowania w sprawie oceny oddziaływania na środowisko. 2. Postępowanie w sprawie oceny oddziaływania na środowisko stanowi część postępowania zmierzającego do wydania decyzji, o których mowa w ust. 3, i wymaga udziału organu, o którym mowa w art. 37. 3. Decyzją, o której mowa w ust. 1, jest: 1) decyzja o warunkach zabudowy i zagospodarowania terenu - wydawana na podstawie przepisów o zagospodarowaniu przestrzennym, 2) decyzja o pozwoleniu na budowę lub rozbiórkę obiektu budowlanego oraz decyzja o pozwoleniu na zmianę sposobu użytkowania obiektu budowlanego lub jego części - wydawana na podstawie przepisów Prawa budowlanego, 3) koncesja na poszukiwanie lub rozpoznawanie złóż kopalin, na wydobywanie kopalin ze złóż, na bezzbiornikowe magazynowanie substancji w górotworze oraz składowanie odpadów w podziemnych wyrobiskach górniczych, na poszukiwanie i wydobywanie surowców mineralnych znajdujących się w odpadach powstałych po robotach górniczych oraz po procesach wzbogacania kopalin - wydawana na podstawie przepisów Prawa geologicznego i górniczego, 4) pozwolenie wodnoprawne w zakresie: a) wykonywania urządzeń wodnych, b) poboru wód podziemnych, c) rolniczego wykorzystania ścieków - wydawane na podstawie przepisów Prawa wodnego, 5) decyzja ustalająca warunki prowadzenia robót polegających na regulacji wód oraz budowie wałów przeciwpowodziowych, a także robót melioracyjnych, odwodnień budowlanych oraz innych robót ziemnych zmieniających stosunki wodne - na terenach o szczególnych wartościach przyrodniczych, zwłaszcza na terenach, na których znajdują się skupienia roślinności o szczególnej wartości przyrodniczej, terenach o walorach krajobrazowych i ekologicznych, terenach masowych lęgów ptactwa, występowania skupień gatunków chronionych i tarlisk ryb - wydawana na podstawie przepisów o ochronie i kształtowaniu środowiska, 6) decyzja zatwierdzająca projekt scalania lub wymiany gruntów - wydawana na podstawie przepisów o scalaniu i wymianie gruntów rolnych i leśnych, 7) decyzja o zmianie lasu na użytek rolny - wydawana na podstawie przepisów o lasach, 8) decyzja o ustaleniu lokalizacji autostrady - wydawana na podstawie przepisów o autostradach płatnych - oraz decyzja o ustaleniu lokalizacji drogi ekspresowej, jeżeli przepisy ustawy o autostradach płatnych mają zastosowanie do tej drogi, gdy decyzje te dotyczą odcinków, które we wskazaniach lokalizacyjnych zostały wskazane jako newralgiczne z uwagi na uwarunkowania ochrony środowiska lub możliwość wystąpienia konfliktów społecznych. 4. Postępowanie w sprawie oceny oddziaływania na środowisko przeprowadza się także przed udzieleniem wskazań lokalizacyjnych autostrady oraz drogi ekspresowej, jeżeli przepisy o autostradach płatnych mają zastosowanie do tej drogi. 5. Przepisy dotyczące decyzji, o których mowa w ust. 3, stosuje się odpowiednio do wskazań lokalizacyjnych udzielanych na mocy przepisów o autostradach płatnych; przepisy dotyczące organów właściwych do wydania tych decyzji stosuje się do organu właściwego do udzielania wskazań lokalizacyjnych. 6. Postępowania w sprawie oceny oddziaływania na środowisko nie przeprowadza się, jeżeli: 1) wydanie decyzji, o której mowa w ust. 3 pkt 2, jest zależne od uzyskania decyzji wymienionej w ust. 3 pkt 4, 2) wydanie decyzji, o której mowa w ust. 3 pkt 4, jest uzależnione od wydania decyzji wymienionej w ust. 3 pkt 5, i postępowanie to zostało przeprowadzone przed wydaniem tej decyzji. 7. Decyzje, o których mowa w ust. 3, wymagają uzasadnienia. 8. Uzasadnienie decyzji, niezależnie od wymagań wynikających z przepisów Kodeksu postępowania administracyjnego, powinno zawierać informacje o sposobie wykorzystania uwag i wniosków zgłoszonych w sposób określony w art. 12-17 oraz informacje dotyczące konieczności wykonania analizy porealizacyjnej, o której mowa w art. 35."
